Misurazione tempi con BST
Numero operazioni,Tempo totale,Tempo ammortizzato,Deviazione standard
1000,0.00277034,2.77034e-06,1.31281e-06
1047,0.00312418,2.98394e-06,1.48795e-06
1097,0.00348315,3.17516e-06,1.6984e-06
1149,0.0040639,3.5369e-06,1.9429e-06
1204,0.0045019,3.73912e-06,2.08512e-06
1261,0.00529584,4.19972e-06,2.27021e-06
1321,0.00547954,4.14802e-06,2.40588e-06
1384,0.00595663,4.30392e-06,2.44137e-06
1450,0.00636455,4.38935e-06,2.57081e-06
1519,0.00730621,4.80988e-06,2.73166e-06
1592,0.00792687,4.97919e-06,2.85626e-06
1668,0.00862655,5.17179e-06,2.96863e-06
1747,0.00939024,5.37507e-06,2.98797e-06
1830,0.0106308,5.80919e-06,3.37057e-06
1917,0.0109691,5.722e-06,3.29602e-06
2009,0.0123631,6.15386e-06,3.5064e-06
2104,0.0132671,6.30567e-06,3.31411e-06
2205,0.0135497,6.14501e-06,2.98993e-06
2310,0.0166026,7.18729e-06,4.14169e-06
2420,0.0188823,7.8026e-06,4.56145e-06
2535,0.0202814,8.00055e-06,4.61746e-06
2656,0.0211408,7.95964e-06,4.31423e-06
2782,0.0249444,8.96637e-06,5.44206e-06
2915,0.0241651,8.28992e-06,4.74545e-06
3053,0.0279898,9.16796e-06,5.47872e-06
3199,0.0286221,8.9472e-06,5.3914e-06
3351,0.0317019,9.46043e-06,5.69146e-06
3511,0.0336492,9.58395e-06,5.58455e-06
3678,0.0373564,1.01567e-05,6.0151e-06
3853,0.036615,9.50299e-06,5.46544e-06
4037,0.0413946,1.02538e-05,6.19441e-06
4229,0.0429443,1.01547e-05,6.20988e-06
4430,0.050046,1.12971e-05,6.55001e-06
4641,0.0522313,1.12543e-05,6.54054e-06
4862,0.0591853,1.2173e-05,6.98911e-06
5094,0.0674508,1.32412e-05,8.19358e-06
5336,0.0726509,1.36152e-05,7.92861e-06
5590,0.0818652,1.46449e-05,8.65719e-06
5857,0.0870971,1.48706e-05,8.67735e-06
6135,0.093601,1.52569e-05,8.42565e-06
6428,0.103146,1.60464e-05,8.69086e-06
6734,0.113088,1.67935e-05,9.71187e-06
7054,0.116872,1.65682e-05,9.61409e-06
7390,0.126087,1.70619e-05,9.95841e-06
7742,0.149109,1.92598e-05,1.131e-05
8111,0.154295,1.90229e-05,1.10098e-05
8497,0.173087,2.03704e-05,1.20185e-05
8902,0.190565,2.1407e-05,1.2346e-05
9326,0.199656,2.14086e-05,1.19781e-05
9770,0.225464,2.30772e-05,1.30482e-05
10235,0.237874,2.32412e-05,1.34862e-05
10722,0.271581,2.53293e-05,1.49252e-05
11233,0.303458,2.70148e-05,1.55028e-05
11768,0.327926,2.78659e-05,1.61749e-05
12328,0.351055,2.84763e-05,1.62737e-05
12915,0.380577,2.94678e-05,1.6652e-05
13530,0.425818,3.14722e-05,1.82152e-05
14174,0.461333,3.25479e-05,1.81444e-05
14849,0.484071,3.25996e-05,1.85579e-05
15556,0.554245,3.5629e-05,2.1225e-05
16297,0.604166,3.70722e-05,2.06959e-05
17073,0.595398,3.48737e-05,2.03216e-05
17886,0.701974,3.92471e-05,2.19878e-05
18738,0.79123,4.22259e-05,2.41118e-05
19630,0.845448,4.30692e-05,2.45939e-05
20565,0.948689,4.61312e-05,2.61342e-05
21544,1.03473,4.80288e-05,2.80952e-05
22570,1.11509,4.94058e-05,2.66107e-05
23644,1.21191,5.12566e-05,2.89543e-05
24770,1.39567,5.63451e-05,3.23046e-05
25950,1.47113,5.66908e-05,3.21515e-05
27185,1.65387,6.08377e-05,3.42001e-05
28480,1.75805,6.17292e-05,3.39636e-05
29836,1.89193,6.34111e-05,3.58945e-05
31257,2.07162,6.62771e-05,3.87401e-05
32745,2.32018,7.08561e-05,4.18808e-05
34304,2.58306,7.5299e-05,4.44023e-05
35938,2.94547,8.19597e-05,5.16829e-05
37649,3.13167,8.31807e-05,5.27144e-05
39442,3.47991,8.82285e-05,5.69808e-05
41320,4.16638,0.000100832,6.89326e-05
43287,4.36448,0.000100827,6.77835e-05
45348,5.03655,0.000111065,7.91954e-05
47508,5.63883,0.000118692,8.6511e-05
49770,6.53189,0.000131241,0.000100791
52140,7.23642,0.000138788,0.00010421
54622,8.51726,0.000155931,0.000118307
57223,9.13651,0.000159665,0.000120284
59948,10.2016,0.000170174,0.000129167
62802,11.374,0.000181109,0.000139605
65793,12.8511,0.000195327,0.000150239
68926,14.4113,0.000209084,0.000157914
72208,16.2607,0.000225193,0.000169717
75646,17.7604,0.000234783,0.00017706
79248,20.1155,0.00025383,0.000191054
83021,22.8334,0.000275032,0.000203779
86974,24.9574,0.000286952,0.000212037
91116,27.6681,0.000303658,0.000218144
95454,30.3676,0.000318138,0.000229312
99999,33.1878,0.000331882,0.000237326
