Tempo (sec), grandezza stringa
0.000453085,1000
0.000424142,1064
0.000459207,1133
0.000491136,1207
0.000539838,1285
0.000588709,1368
0.00063748,1457
0.000695268,1551
0.000764066,1652
0.00081452,1759
0.000915168,1873
0.000967526,1994
0.00107257,2123
0.00117001,2261
0.00124792,2408
0.00132687,2564
0.00145124,2730
0.00161881,2907
0.00169502,3095
0.00187819,3295
0.00206193,3509
0.00220953,3736
0.00240466,3978
0.0025987,4236
0.00284035,4511
0.00307179,4803
0.00334647,5114
0.00366042,5446
0.0039656,5798
0.00392206,6174
0.00311421,6574
0.00346229,7000
0.00377802,7454
0.00412974,7937
0.00454174,8451
0.00496748,8998
0.00540189,9581
0.00608054,10202
0.00660813,10863
0.00720716,11567
0.00803359,12316
0.00879927,13114
0.00982618,13964
0.0108972,14868
0.0120213,15832
0.0133695,16857
0.0148523,17950
0.0164309,19113
0.0183698,20351
0.0205094,21669
0.0227364,23073
0.0255722,24568
0.0283976,26160
0.0319221,27854
0.0359394,29659
0.0399406,31581
0.0448732,33627
0.0515414,35805
0.0585398,38125
0.0665171,40595
0.0757469,43225
0.0861758,46025
0.0999321,49007
0.115707,52182
0.133884,55563
0.157279,59163
0.183153,62996
0.210404,67077
0.22474,71422
0.288271,76050
0.293596,80977
0.333554,86223
0.387624,91809
0.429694,97757
0.51469,104090
0.586347,110834
0.603903,118014
0.722929,125660
0.840843,133801
0.887266,142470
1.03274,151700
1.12798,161528
1.23653,171992
1.03435,183135
1.18317,195000
1.30235,207633
1.49653,221085
1.78804,235408
1.9506,250659
2.15057,266898
2.42729,284190
2.74246,302601
3.37373,322206
3.50237,343080
4.42768,365307
5.00315,388974
5.92889,414174
7.35367,441006
7.22216,469577
7.9549,500000
