Misurazione tempi con REDBLACK
Numero operazioni,Tempo totale,Tempo ammortizzato,Deviazione standard
1000,0.000441998,4.41998e-07,2.7955e-07
1047,0.000893608,8.53494e-07,1.63458e-05
1097,0.00136355,1.24298e-06,0.00012207
1149,0.00185856,1.61755e-06,0.000325947
1204,0.00237376,1.97156e-06,0.00052031
1261,0.00292514,2.3197e-06,0.000642356
1321,0.00348053,2.63477e-06,0.00069733
1384,0.00405953,2.93318e-06,0.000709829
1450,0.00468344,3.22996e-06,0.000699675
1519,0.00534086,3.51604e-06,0.000678694
1592,0.00605395,3.80273e-06,0.000652937
1668,0.00679456,4.07347e-06,0.000625669
1747,0.00754533,4.31902e-06,0.00059846
1830,0.00838309,4.58092e-06,0.000571878
1917,0.00925182,4.8262e-06,0.000546204
2009,0.0101378,5.04618e-06,0.00052144
2104,0.0111294,5.28962e-06,0.000497851
2205,0.0121111,5.49254e-06,0.000475193
2310,0.0131674,5.70017e-06,0.000453584
2420,0.0143185,5.91673e-06,0.000432968
2535,0.0155144,6.1201e-06,0.000413313
2656,0.0167905,6.32173e-06,0.000394524
2782,0.0181638,6.52903e-06,0.000376629
2915,0.0196298,6.73405e-06,0.000359504
3053,0.0211965,6.94286e-06,0.000343214
3199,0.0228039,7.12844e-06,0.000327615
3351,0.0245878,7.33746e-06,0.000312751
3511,0.0264047,7.52056e-06,0.00029854
3678,0.0283832,7.71702e-06,0.000284993
3853,0.0308099,7.99635e-06,0.000272068
4037,0.0351794,8.71424e-06,0.000259717
4229,0.0375229,8.87275e-06,0.000247957
4430,0.0399558,9.01937e-06,0.000236736
4641,0.0426729,9.19477e-06,0.000226018
4862,0.0456389,9.38686e-06,0.000215787
5094,0.0484815,9.51738e-06,0.000206013
5336,0.0517353,9.69552e-06,0.0001967
5590,0.0555183,9.93172e-06,0.000187813
5857,0.0597498,1.02014e-05,0.000179323
6135,0.0641919,1.04632e-05,0.000171244
6428,0.068548,1.0664e-05,0.000163525
6734,0.0734814,1.0912e-05,0.000156165
7054,0.0784634,1.11233e-05,0.000149155
7390,0.0835636,1.13077e-05,0.000142465
7742,0.0893355,1.15391e-05,0.000136083
8111,0.0952468,1.17429e-05,0.000129997
8497,0.101241,1.19149e-05,0.000124197
8902,0.107755,1.21046e-05,0.000118664
9326,0.115203,1.23529e-05,0.000113392
9770,0.122576,1.25462e-05,0.000108377
10235,0.130697,1.27697e-05,0.000103598
10722,0.13952,1.30125e-05,9.90506e-05
11233,0.148622,1.32309e-05,9.47226e-05
11768,0.158627,1.34795e-05,9.06028e-05
12328,0.168354,1.36563e-05,8.66895e-05
12915,0.178629,1.38311e-05,8.29604e-05
13530,0.18916,1.39808e-05,7.94108e-05
14174,0.200184,1.41233e-05,7.60323e-05
14849,0.211879,1.42689e-05,7.28167e-05
15556,0.224173,1.44107e-05,6.97614e-05
16297,0.236669,1.45223e-05,6.68577e-05
17073,0.249792,1.46308e-05,6.40961e-05
17886,0.263691,1.47429e-05,6.14716e-05
18738,0.278396,1.48573e-05,5.89811e-05
19630,0.293643,1.49589e-05,5.66207e-05
20565,0.310068,1.50774e-05,5.43823e-05
21544,0.326854,1.51715e-05,5.22639e-05
22570,0.342718,1.51847e-05,5.02542e-05
23644,0.360336,1.52401e-05,4.83287e-05
24770,0.378706,1.52889e-05,4.65066e-05
25950,0.3974,1.53141e-05,4.47799e-05
27185,0.417626,1.53624e-05,4.31397e-05
28480,0.439639,1.54368e-05,4.15918e-05
29836,0.4618,1.5478e-05,4.01403e-05
31257,0.484787,1.55097e-05,3.8763e-05
32745,0.506598,1.5471e-05,3.7457e-05
34304,0.531896,1.55054e-05,3.61954e-05
35938,0.557724,1.55191e-05,3.50182e-05
37649,0.5854,1.55489e-05,3.39074e-05
39442,0.612768,1.55359e-05,3.28638e-05
41320,0.640598,1.55033e-05,3.18643e-05
43287,0.668875,1.54521e-05,3.09059e-05
45348,0.700882,1.54556e-05,2.99865e-05
47508,0.731602,1.53996e-05,2.91357e-05
49770,0.765388,1.53785e-05,2.83117e-05
52140,0.79954,1.53345e-05,2.75417e-05
54622,0.835598,1.52978e-05,2.68059e-05
57223,0.872805,1.52527e-05,2.61101e-05
59948,0.912279,1.52178e-05,2.54477e-05
62802,0.954078,1.51918e-05,2.48248e-05
65793,0.998538,1.5177e-05,2.42425e-05
68926,1.04397,1.51462e-05,2.37002e-05
72208,1.09244,1.51291e-05,2.31811e-05
75646,1.14334,1.51144e-05,2.2696e-05
79248,1.19945,1.51354e-05,2.22422e-05
83021,1.25784,1.51509e-05,2.18347e-05
86974,1.31974,1.51739e-05,2.14541e-05
91116,1.38326,1.51813e-05,2.11024e-05
95454,1.44686,1.51577e-05,2.07636e-05
99999,1.5133,1.51331e-05,2.04213e-05

