Misurazione tempi con REDBLACK
Numero operazioni,Tempo totale,Tempo ammortizzato,Deviazione standard
1000,0.000583251,5.83251e-07,1.12874e-07
1047,0.000599719,5.72797e-07,1.11875e-07
1097,0.000634264,5.78181e-07,1.43567e-07
1149,0.000709741,6.17704e-07,1.17998e-07
1204,0.000861948,7.15904e-07,4.19352e-07
1261,0.000812611,6.44418e-07,2.79545e-07
1321,0.000871134,6.59451e-07,2.63383e-07
1384,0.00092657,6.69487e-07,4.46534e-07
1450,0.000931859,6.42661e-07,1.38492e-07
1519,0.00105687,6.95765e-07,2.95583e-07
1592,0.00105327,6.61605e-07,5.12672e-07
1668,0.00118692,7.11583e-07,3.97836e-07
1747,0.0012036,6.88952e-07,2.99574e-07
1830,0.00130418,7.12665e-07,5.15781e-07
1917,0.0013734,7.16434e-07,5.63095e-07
2009,0.00152365,7.58412e-07,5.2514e-07
2104,0.001471,6.99147e-07,2.67426e-07
2205,0.00169948,7.70741e-07,4.14515e-07
2310,0.00166352,7.20137e-07,3.48935e-07
2420,0.00183771,7.59385e-07,4.74132e-07
2535,0.00189542,7.47702e-07,2.81067e-07
2656,0.00204247,7.69003e-07,5.36576e-07
2782,0.00213092,7.65966e-07,5.58781e-07
2915,0.00224299,7.69464e-07,3.75886e-07
3053,0.00239288,7.83781e-07,5.05719e-07
3199,0.00247301,7.73057e-07,2.82806e-07
3351,0.00254694,7.60053e-07,2.86098e-07
3511,0.00282307,8.04063e-07,3.1206e-07
3678,0.00300773,8.17762e-07,3.78312e-07
3853,0.00330876,8.58748e-07,4.77335e-07
4037,0.0036321,8.99702e-07,4.29576e-07
4229,0.00366388,8.66369e-07,3.38676e-07
4430,0.00398316,8.99133e-07,4.57903e-07
4641,0.00391091,8.42688e-07,3.63449e-07
4862,0.00411362,8.46077e-07,3.55074e-07
5094,0.00411215,8.07254e-07,3.06025e-07
5336,0.00435212,8.15614e-07,3.30373e-07
5590,0.00459762,8.22473e-07,3.22765e-07
5857,0.00474553,8.10232e-07,3.71017e-07
6135,0.00535094,8.72199e-07,4.90211e-07
6428,0.00552277,8.59175e-07,4.63169e-07
6734,0.00539454,8.0109e-07,2.91151e-07
7054,0.00619522,8.78257e-07,2.58176e-07
7390,0.00557471,7.54358e-07,2.88384e-07
7742,0.00624112,8.06138e-07,3.66513e-07
8111,0.00661168,8.15149e-07,3.9774e-07
8497,0.00617538,7.26772e-07,2.44493e-07
8902,0.00743419,8.35114e-07,3.66131e-07
9326,0.00697058,7.47435e-07,2.32424e-07
9770,0.00752197,7.69905e-07,2.21896e-07
10235,0.00789845,7.7171e-07,2.24312e-07
10722,0.00767563,7.15877e-07,2.20777e-07
11233,0.00806139,7.17653e-07,2.40156e-07
11768,0.00863093,7.33423e-07,2.34637e-07
12328,0.00902728,7.32258e-07,2.08084e-07
12915,0.00944271,7.31143e-07,2.1096e-07
13530,0.00982235,7.25968e-07,2.00145e-07
14174,0.0105154,7.41878e-07,2.96461e-07
14849,0.0109341,7.36356e-07,1.98794e-07
15556,0.011513,7.40099e-07,2.43283e-07
16297,0.0120181,7.37443e-07,2.48759e-07
17073,0.0126506,7.40973e-07,2.52888e-07
17886,0.0130945,7.32109e-07,1.74625e-07
18738,0.0139117,7.42434e-07,2.36702e-07
19630,0.0147926,7.53573e-07,2.24492e-07
20565,0.0154591,7.51717e-07,2.11438e-07
21544,0.0162082,7.52328e-07,1.97096e-07
22570,0.0170562,7.55704e-07,1.91077e-07
23644,0.0180231,7.62271e-07,2.19276e-07
24770,0.0181573,7.33038e-07,1.88217e-07
25950,0.0201419,7.76181e-07,2.18916e-07
27185,0.0220569,8.11363e-07,2.96056e-07
28480,0.0226591,7.95616e-07,2.53166e-07
29836,0.0227612,7.62876e-07,1.51345e-07
31257,0.0238301,7.62392e-07,1.96207e-07
32745,0.025107,7.66743e-07,2.06561e-07
34304,0.0258017,7.52149e-07,2.27012e-07
35938,0.0270751,7.53382e-07,2.40156e-07
37649,0.029371,7.80126e-07,1.80686e-07
39442,0.0305256,7.73937e-07,1.77521e-07
41320,0.0322294,7.79995e-07,1.6673e-07
43287,0.0338734,7.8253e-07,1.81091e-07
45348,0.0359902,7.93644e-07,2.53397e-07
47508,0.0409958,8.62924e-07,2.97617e-07
49770,0.0394538,7.92723e-07,1.78595e-07
52140,0.0405578,7.77863e-07,1.84782e-07
54622,0.042804,7.83641e-07,1.29367e-07
57223,0.04492,7.84999e-07,1.68809e-07
59948,0.047834,7.97925e-07,1.80933e-07
62802,0.050878,8.10133e-07,1.91015e-07
65793,0.0537413,8.16824e-07,2.62367e-07
68926,0.0549396,7.97081e-07,1.91088e-07
72208,0.0581183,8.04874e-07,1.42636e-07
75646,0.0604235,7.98766e-07,1.37415e-07
79248,0.0668796,8.43928e-07,1.7331e-07
83021,0.0696738,8.39231e-07,1.57738e-07
86974,0.0692352,7.96045e-07,1.74862e-07
91116,0.0735701,8.07434e-07,1.68481e-07
95454,0.0805578,8.43944e-07,1.8534e-07
99999,0.0818504,8.18512e-07,1.95659e-07
