Misurazione tempi con AVL
Numero operazioni,Tempo totale,Tempo ammortizzato,Deviazione standard
1000,0.00108291,1.08291e-06,4.73958e-07
1047,0.00171438,1.63742e-06,2.13016e-05
1097,0.00230713,2.10313e-06,0.000139357
1149,0.00294864,2.56627e-06,0.000348267
1204,0.00361659,3.00381e-06,0.000537833
1261,0.00431625,3.42288e-06,0.000653086
1321,0.00505865,3.82941e-06,0.000703135
1384,0.00589127,4.2567e-06,0.000712783
1450,0.00671827,4.63329e-06,0.000701135
1519,0.00761314,5.01194e-06,0.000679409
1592,0.00861421,5.41093e-06,0.00065329
1668,0.00958932,5.74899e-06,0.000625849
1747,0.0106099,6.07324e-06,0.000598559
1830,0.0117017,6.39439e-06,0.00057194
1917,0.0128207,6.68791e-06,0.00054625
2009,0.0140328,6.98499e-06,0.000521481
2104,0.0153199,7.28131e-06,0.000497892
2205,0.0167252,7.58513e-06,0.000475237
2310,0.0181103,7.83997e-06,0.000453633
2420,0.0196448,8.11767e-06,0.000433022
2535,0.021218,8.37002e-06,0.000413373
2656,0.0228765,8.61313e-06,0.00039459
2782,0.0246244,8.85134e-06,0.000376702
2915,0.0264417,9.07092e-06,0.000359584
3053,0.0284234,9.31e-06,0.000343301
3199,0.030725,9.60455e-06,0.000327711
3351,0.0328881,9.81441e-06,0.000312857
3511,0.0357022,1.01687e-05,0.000298656
3678,0.0381774,1.03799e-05,0.000285124
3853,0.0407258,1.05699e-05,0.000272211
4037,0.0432092,1.07033e-05,0.000259867
4229,0.0463342,1.09563e-05,0.0002481
4430,0.049563,1.1188e-05,0.000236885
4641,0.0525325,1.13192e-05,0.000226177
4862,0.0557782,1.14723e-05,0.000215954
5094,0.0595569,1.16916e-05,0.00020619
5336,0.0630686,1.18194e-05,0.000196891
5590,0.0670705,1.19983e-05,0.000188015
5857,0.0710411,1.21293e-05,0.000179534
6135,0.0750261,1.22292e-05,0.000171459
6428,0.0799597,1.24393e-05,0.000163739
6734,0.08445,1.25408e-05,0.000156386
7054,0.0892667,1.26548e-05,0.000149377
7390,0.0964235,1.30478e-05,0.00014269
7742,0.104987,1.35607e-05,0.000136331
8111,0.113441,1.3986e-05,0.000130292
8497,0.12249,1.44157e-05,0.000124548
8902,0.129529,1.45506e-05,0.000119082
9326,0.136765,1.46649e-05,0.000113851
9770,0.144181,1.47575e-05,0.000108856
10235,0.151831,1.48345e-05,0.000104088
10722,0.159874,1.49108e-05,9.95415e-05
11233,0.168058,1.49611e-05,9.52061e-05
11768,0.177034,1.50437e-05,9.10736e-05
12328,0.187447,1.52049e-05,8.71445e-05
12915,0.19982,1.54719e-05,8.34184e-05
13530,0.210762,1.55774e-05,7.98982e-05
14174,0.22241,1.56914e-05,7.65395e-05
14849,0.234735,1.58081e-05,7.33423e-05
15556,0.247671,1.59212e-05,7.03045e-05
16297,0.261496,1.60457e-05,6.74188e-05
17073,0.276061,1.61695e-05,6.46822e-05
17886,0.292063,1.63291e-05,6.20878e-05
18738,0.308482,1.64629e-05,5.9638e-05
19630,0.32494,1.65532e-05,5.73173e-05
20565,0.342028,1.66316e-05,5.51089e-05
21544,0.358463,1.66387e-05,5.30111e-05
22570,0.377589,1.67297e-05,5.10016e-05
23644,0.397068,1.67936e-05,4.9115e-05
24770,0.417102,1.6839e-05,4.73283e-05
25950,0.436976,1.68392e-05,4.56321e-05
27185,0.457515,1.68297e-05,4.40119e-05
28480,0.480659,1.68771e-05,4.24686e-05
29836,0.503472,1.68747e-05,4.10254e-05
31257,0.527108,1.68637e-05,3.96494e-05
32745,0.550443,1.681e-05,3.83416e-05
34304,0.576095,1.67938e-05,3.70848e-05
35938,0.600259,1.67026e-05,3.5902e-05
37649,0.626489,1.66403e-05,3.47545e-05
39442,0.654147,1.6585e-05,3.36679e-05
41320,0.682769,1.65239e-05,3.26428e-05
43287,0.710484,1.64133e-05,3.16692e-05
45348,0.74192,1.63606e-05,3.0723e-05
47508,0.77309,1.62728e-05,2.98435e-05
49770,0.806817,1.62109e-05,2.89994e-05
52140,0.841242,1.61343e-05,2.8208e-05
54622,0.877734,1.60692e-05,2.74531e-05
57223,0.915878,1.60054e-05,2.67412e-05
59948,0.955314,1.59357e-05,2.6068e-05
62802,0.996879,1.58734e-05,2.54269e-05
65793,1.0403,1.58118e-05,2.48212e-05
68926,1.08636,1.57612e-05,2.4248e-05
72208,1.13484,1.57163e-05,2.3711e-05
75646,1.18569,1.56742e-05,2.32069e-05
79248,1.23866,1.56301e-05,2.27318e-05
83021,1.29431,1.55902e-05,2.22813e-05
86974,1.35444,1.55729e-05,2.18565e-05
91116,1.41571,1.55375e-05,2.14683e-05
95454,1.48121,1.55176e-05,2.10931e-05
99999,1.55361,1.55362e-05,2.0746e-05

Misurazione tempi con REDBLACK
Numero operazioni,Tempo totale,Tempo ammortizzato,Deviazione standard
1000,0.000441998,4.41998e-07,2.7955e-07
1047,0.000893608,8.53494e-07,1.63458e-05
1097,0.00136355,1.24298e-06,0.00012207
1149,0.00185856,1.61755e-06,0.000325947
1204,0.00237376,1.97156e-06,0.00052031
1261,0.00292514,2.3197e-06,0.000642356
1321,0.00348053,2.63477e-06,0.00069733
1384,0.00405953,2.93318e-06,0.000709829
1450,0.00468344,3.22996e-06,0.000699675
1519,0.00534086,3.51604e-06,0.000678694
1592,0.00605395,3.80273e-06,0.000652937
1668,0.00679456,4.07347e-06,0.000625669
1747,0.00754533,4.31902e-06,0.00059846
1830,0.00838309,4.58092e-06,0.000571878
1917,0.00925182,4.8262e-06,0.000546204
2009,0.0101378,5.04618e-06,0.00052144
2104,0.0111294,5.28962e-06,0.000497851
2205,0.0121111,5.49254e-06,0.000475193
2310,0.0131674,5.70017e-06,0.000453584
2420,0.0143185,5.91673e-06,0.000432968
2535,0.0155144,6.1201e-06,0.000413313
2656,0.0167905,6.32173e-06,0.000394524
2782,0.0181638,6.52903e-06,0.000376629
2915,0.0196298,6.73405e-06,0.000359504
3053,0.0211965,6.94286e-06,0.000343214
3199,0.0228039,7.12844e-06,0.000327615
3351,0.0245878,7.33746e-06,0.000312751
3511,0.0264047,7.52056e-06,0.00029854
3678,0.0283832,7.71702e-06,0.000284993
3853,0.0308099,7.99635e-06,0.000272068
4037,0.0351794,8.71424e-06,0.000259717
4229,0.0375229,8.87275e-06,0.000247957
4430,0.0399558,9.01937e-06,0.000236736
4641,0.0426729,9.19477e-06,0.000226018
4862,0.0456389,9.38686e-06,0.000215787
5094,0.0484815,9.51738e-06,0.000206013
5336,0.0517353,9.69552e-06,0.0001967
5590,0.0555183,9.93172e-06,0.000187813
5857,0.0597498,1.02014e-05,0.000179323
6135,0.0641919,1.04632e-05,0.000171244
6428,0.068548,1.0664e-05,0.000163525
6734,0.0734814,1.0912e-05,0.000156165
7054,0.0784634,1.11233e-05,0.000149155
7390,0.0835636,1.13077e-05,0.000142465
7742,0.0893355,1.15391e-05,0.000136083
8111,0.0952468,1.17429e-05,0.000129997
8497,0.101241,1.19149e-05,0.000124197
8902,0.107755,1.21046e-05,0.000118664
9326,0.115203,1.23529e-05,0.000113392
9770,0.122576,1.25462e-05,0.000108377
10235,0.130697,1.27697e-05,0.000103598
10722,0.13952,1.30125e-05,9.90506e-05
11233,0.148622,1.32309e-05,9.47226e-05
11768,0.158627,1.34795e-05,9.06028e-05
12328,0.168354,1.36563e-05,8.66895e-05
12915,0.178629,1.38311e-05,8.29604e-05
13530,0.18916,1.39808e-05,7.94108e-05
14174,0.200184,1.41233e-05,7.60323e-05
14849,0.211879,1.42689e-05,7.28167e-05
15556,0.224173,1.44107e-05,6.97614e-05
16297,0.236669,1.45223e-05,6.68577e-05
17073,0.249792,1.46308e-05,6.40961e-05
17886,0.263691,1.47429e-05,6.14716e-05
18738,0.278396,1.48573e-05,5.89811e-05
19630,0.293643,1.49589e-05,5.66207e-05
20565,0.310068,1.50774e-05,5.43823e-05
21544,0.326854,1.51715e-05,5.22639e-05
22570,0.342718,1.51847e-05,5.02542e-05
23644,0.360336,1.52401e-05,4.83287e-05
24770,0.378706,1.52889e-05,4.65066e-05
25950,0.3974,1.53141e-05,4.47799e-05
27185,0.417626,1.53624e-05,4.31397e-05
28480,0.439639,1.54368e-05,4.15918e-05
29836,0.4618,1.5478e-05,4.01403e-05
31257,0.484787,1.55097e-05,3.8763e-05
32745,0.506598,1.5471e-05,3.7457e-05
34304,0.531896,1.55054e-05,3.61954e-05
35938,0.557724,1.55191e-05,3.50182e-05
37649,0.5854,1.55489e-05,3.39074e-05
39442,0.612768,1.55359e-05,3.28638e-05
41320,0.640598,1.55033e-05,3.18643e-05
43287,0.668875,1.54521e-05,3.09059e-05
45348,0.700882,1.54556e-05,2.99865e-05
47508,0.731602,1.53996e-05,2.91357e-05
49770,0.765388,1.53785e-05,2.83117e-05
52140,0.79954,1.53345e-05,2.75417e-05
54622,0.835598,1.52978e-05,2.68059e-05
57223,0.872805,1.52527e-05,2.61101e-05
59948,0.912279,1.52178e-05,2.54477e-05
62802,0.954078,1.51918e-05,2.48248e-05
65793,0.998538,1.5177e-05,2.42425e-05
68926,1.04397,1.51462e-05,2.37002e-05
72208,1.09244,1.51291e-05,2.31811e-05
75646,1.14334,1.51144e-05,2.2696e-05
79248,1.19945,1.51354e-05,2.22422e-05
83021,1.25784,1.51509e-05,2.18347e-05
86974,1.31974,1.51739e-05,2.14541e-05
91116,1.38326,1.51813e-05,2.11024e-05
95454,1.44686,1.51577e-05,2.07636e-05
99999,1.5133,1.51331e-05,2.04213e-05

Misurazione tempi con BST
Numero operazioni,Tempo totale,Tempo ammortizzato,Deviazione standard
1000,0.00566446,5.66446e-06,3.14683e-06
1047,0.0122444,1.16947e-05,5.52088e-05
1097,0.0192905,1.75848e-05,0.000224645
1149,0.0275147,2.39466e-05,0.000442509
1204,0.0362493,3.01074e-05,0.000606689
1261,0.0462442,3.66726e-05,0.000694237
1321,0.0570951,4.32211e-05,0.000725802
1384,0.06919,4.99928e-05,0.000725362
1450,0.0826974,5.70327e-05,0.000708912
1519,0.0977949,6.43811e-05,0.000685341
1592,0.114562,7.1961e-05,0.000659016
1668,0.133307,7.99205e-05,0.000632339
1747,0.154229,8.82821e-05,0.000606488
1830,0.176744,9.65815e-05,0.000581861
1917,0.201083,0.000104895,0.000558636
2009,0.228853,0.000113914,0.000536793
2104,0.259544,0.000123357,0.000516751
2205,0.291736,0.000132307,0.000498277
2310,0.327034,0.000141573,0.000481388
2420,0.365608,0.000151078,0.000466123
2535,0.405706,0.000160042,0.000452515
2656,0.448918,0.00016902,0.000440225
2782,0.495106,0.000177968,0.000429388
2915,0.545651,0.000187187,0.000419821
3053,0.600591,0.000196721,0.000411774
3199,0.660558,0.000206489,0.000405066
3351,0.727188,0.000217006,0.000399831
3511,0.799558,0.000227729,0.00039612
3678,0.881335,0.000239624,0.000393852
3853,0.969297,0.000251569,0.00039333
4037,1.06853,0.000264683,0.000394072
4229,1.18195,0.000279488,0.000396568
4430,1.30487,0.000294552,0.000401195
4641,1.43377,0.000308937,0.000407121
4862,1.57609,0.000324164,0.000413499
5094,1.73313,0.00034023,0.000420981
5336,1.90937,0.000357829,0.000429847
5590,2.10248,0.000376115,0.000440435
5857,2.31732,0.00039565,0.000452283
6135,2.55861,0.000417052,0.000465827
6428,2.83364,0.000440828,0.0004812
6734,3.12257,0.000463702,0.000499194
7054,3.44523,0.000488407,0.000517209
7390,3.80045,0.00051427,0.000536858
7742,4.21158,0.000543991,0.000558093
8111,4.64315,0.000572451,0.000582616
8497,5.11976,0.000602537,0.000606903
8902,5.68075,0.000638143,0.000632924
9326,6.33383,0.000679158,0.000664111
9770,7.05712,0.000722326,0.00070015
10235,7.80511,0.00076259,0.000738975
10722,8.63317,0.000805182,0.000775351
11233,9.50985,0.000846599,0.000813675
11768,10.4841,0.0008909,0.00085125
12328,11.6647,0.000946194,0.000892547
12915,12.8601,0.000995752,0.000942465
13530,14.1605,0.0010466,0.000988111
14174,15.591,0.00109997,0.00103512
14849,17.2445,0.00116132,0.00108488
15556,18.9784,0.00122001,0.00114148
16297,20.944,0.00128515,0.00119644
17073,23.0729,0.00135143,0.00125728
17886,25.3647,0.00141813,0.00131914
18738,27.9096,0.00148947,0.00138187
19630,30.7355,0.00156574,0.00145053
20565,33.8705,0.001647,0.00152252
21544,37.2927,0.001731,0.00159806
22570,41.1909,0.00182503,0.00167958
23644,45.4516,0.00192233,0.00176707
24770,50.3403,0.00203231,0.00186037
25950,55.923,0.00215503,0.00196648
27185,62.4064,0.00229562,0.00208614
28480,69.9604,0.00245647,0.00222233
29836,78.8443,0.00264259,0.0023789
31257,89.2223,0.00285447,0.00255963
32745,101.638,0.00310392,0.00276825
34304,120.95,0.00352582,0.00310669
35938,141.332,0.00393266,0.00346321
37649,167.02,0.00443625,0.00389519
39442,200.269,0.00507756,0.00442658
41320,230.075,0.00556813,0.00492232
43287,265.378,0.00613066,0.00539788
45348,306.342,0.00675537,0.00594197
47508,354.541,0.00746277,0.00654584
49770,410.449,0.00824692,0.00722587
52140,482.896,0.00926152,0.00804587
54622,565.586,0.0103545,0.00897511
57223,657.815,0.0114956,0.0100171
59948,764.629,0.0127549,0.0111083
62802,872.455,0.0138921,0.0122851
65793,1008.26,0.0153247,0.0134019
68926,1143.65,0.0165924,0.0147327
72208,1295.19,0.017937,0.0159428
75646,1463.76,0.0193501,0.0172247
79248,1648.57,0.0208027,0.0185688
83021,1850.41,0.0222885,0.0199537
86974,2074.41,0.0238509,0.0213726
91116,2322.61,0.0254907,0.022864
95454,2598.29,0.0272204,0.0244328
99999,2917.62,0.0291765,0.0260942
