Misurazione tempi con AVL
Numero operazioni,Tempo totale,Tempo ammortizzato,Deviazione standard
1000,0.001731,1.731e-06,5.34816e-07
1047,0.00179438,1.71383e-06,7.42069e-07
1097,0.00189571,1.72808e-06,7.50796e-07
1149,0.00203573,1.77174e-06,7.5062e-07
1204,0.00136541,1.13406e-06,4.12694e-07
1261,0.00102583,8.13506e-07,6.48026e-07
1321,0.00105787,8.00808e-07,5.84352e-07
1384,0.000965245,6.97431e-07,2.53499e-07
1450,0.00110957,7.65218e-07,5.7448e-07
1519,0.00115297,7.5903e-07,3.63193e-07
1592,0.00124905,7.84579e-07,4.10245e-07
1668,0.00170907,1.02462e-06,7.35173e-07
1747,0.002539,1.45335e-06,1.06518e-06
1830,0.00252224,1.37827e-06,1.11471e-06
1917,0.00217491,1.13454e-06,7.2095e-07
2009,0.00151299,7.53106e-07,2.49271e-07
2104,0.00304266,1.44613e-06,1.13624e-06
2205,0.00236242,1.07139e-06,8.01853e-07
2310,0.00329399,1.42597e-06,1.03759e-06
2420,0.00251986,1.04126e-06,6.23128e-07
2535,0.00311389,1.22836e-06,8.54577e-07
2656,0.00324894,1.22325e-06,8.57972e-07
2782,0.00367283,1.32021e-06,1.01759e-06
2915,0.0047705,1.63653e-06,1.12976e-06
3053,0.00433514,1.41996e-06,1.02301e-06
3199,0.00333007,1.04097e-06,4.40483e-07
3351,0.00356668,1.06436e-06,4.91775e-07
3511,0.00313676,8.93409e-07,3.51237e-07
3678,0.0032458,8.82491e-07,3.78193e-07
3853,0.00343905,8.92565e-07,3.7229e-07
4037,0.00376171,9.31809e-07,3.86578e-07
4229,0.00381889,9.03024e-07,4.18638e-07
4430,0.00406955,9.18635e-07,3.69344e-07
4641,0.0043031,9.27192e-07,4.12539e-07
4862,0.00458267,9.42549e-07,3.97267e-07
5094,0.0046784,9.18413e-07,3.53832e-07
5336,0.004869,9.12481e-07,3.11278e-07
5590,0.00510029,9.12395e-07,5.65989e-07
5857,0.00545061,9.30614e-07,4.06053e-07
6135,0.00563493,9.1849e-07,2.81008e-07
6428,0.00520756,8.10138e-07,2.37563e-07
6734,0.005916,8.78527e-07,3.62538e-07
7054,0.00656314,9.30414e-07,3.82247e-07
7390,0.00654175,8.85216e-07,4.47185e-07
7742,0.00671349,8.67151e-07,2.04871e-07
8111,0.00753481,9.28962e-07,5.72453e-07
8497,0.0076759,9.03365e-07,3.51448e-07
8902,0.00731818,8.22082e-07,3.33392e-07
9326,0.00766085,8.21451e-07,2.39103e-07
9770,0.00804438,8.23376e-07,2.31125e-07
10235,0.00814508,7.95807e-07,2.47364e-07
10722,0.00813384,7.58612e-07,2.20346e-07
11233,0.00931386,8.29151e-07,2.93548e-07
11768,0.00983765,8.35967e-07,2.76714e-07
12328,0.00998668,8.10081e-07,2.61271e-07
12915,0.0107414,8.31703e-07,2.57923e-07
13530,0.0116531,8.61279e-07,3.02473e-07
14174,0.0115781,8.16853e-07,2.53269e-07
14849,0.0116897,7.87241e-07,2.2238e-07
15556,0.0126412,8.12625e-07,2.12552e-07
16297,0.0129121,7.92298e-07,2.90834e-07
17073,0.0138003,8.08314e-07,1.99861e-07
17886,0.0143526,8.0245e-07,1.94818e-07
18738,0.0144906,7.73327e-07,2.47937e-07
19630,0.0151886,7.73744e-07,1.9962e-07
20565,0.0163552,7.95291e-07,2.2851e-07
21544,0.0174732,8.11048e-07,4.0602e-07
22570,0.0181801,8.055e-07,2.0995e-07
23644,0.0194411,8.22242e-07,1.87636e-07
24770,0.0196284,7.92428e-07,2.46164e-07
25950,0.0209801,8.08483e-07,1.88322e-07
27185,0.0215264,7.91848e-07,1.7853e-07
28480,0.023393,8.21382e-07,1.93208e-07
29836,0.0239793,8.03705e-07,3.65237e-07
31257,0.0249307,7.97605e-07,2.20984e-07
32745,0.0274813,8.39252e-07,2.61984e-07
34304,0.0303264,8.84049e-07,1.44452e-07
35938,0.0293114,8.1561e-07,1.95948e-07
37649,0.0302333,8.03031e-07,1.67522e-07
39442,0.031044,7.8708e-07,1.81294e-07
41320,0.0332999,8.05903e-07,2.02535e-07
43287,0.0350134,8.08868e-07,1.80962e-07
45348,0.0372985,8.22494e-07,1.72903e-07
47508,0.0397237,8.36147e-07,1.88313e-07
49770,0.0425656,8.55247e-07,1.97972e-07
52140,0.0458055,8.7851e-07,1.93208e-07
54622,0.0441826,8.0888e-07,1.75086e-07
57223,0.0480358,8.39449e-07,1.72497e-07
59948,0.0487803,8.1371e-07,1.99697e-07
62802,0.0506297,8.0618e-07,2.13045e-07
65793,0.0552455,8.39687e-07,1.69313e-07
68926,0.0580485,8.42186e-07,2.16681e-07
72208,0.0635122,8.79573e-07,2.0548e-07
75646,0.0641696,8.48289e-07,1.89985e-07
79248,0.0664302,8.38257e-07,1.72374e-07
83021,0.0707745,8.5249e-07,1.66512e-07
86974,0.0732525,8.42235e-07,1.81121e-07
91116,0.0829888,9.10804e-07,2.52712e-07
95454,0.0821246,8.60358e-07,1.72753e-07
99999,0.0839271,8.39279e-07,1.72383e-07

